"gender"	"Age"	"attitude"	"deep"	"stra"	"surf"	"Points"	"deep_adjusted"	"surface_adjusted"	"strategic_adjusted"	"DS"
"23"	"F"	31	2.7	4	3.625	3	24	0.333333333333333	0.25	0.453125	"1"
"24"	"F"	37	2.3	3.66666666666667	2.75	2.41666666666667	9	0.305555555555556	0.201388888888889	0.34375	"1"
"25"	"F"	26	3.7	3.66666666666667	1.75	2.83333333333333	26	0.305555555555556	0.236111111111111	0.21875	"1"
"26"	"F"	26	4.4	4.41666666666667	3.25	3.16666666666667	32	0.368055555555556	0.263888888888889	0.40625	"1"
"27"	"M"	30	4.1	3.91666666666667	4	3	32	0.326388888888889	0.25	0.5	"1"
"28"	"F"	33	3.7	3.75	3.625	2	33	0.3125	0.166666666666667	0.453125	"1"
"29"	"F"	33	2.5	3.25	2.875	3.5	29	0.270833333333333	0.291666666666667	0.359375	"0"
"30"	"M"	28	3	3.58333333333333	3	3.75	30	0.298611111111111	0.3125	0.375	"0"
"31"	"M"	26	3.4	4.91666666666667	1.625	2.5	19	0.409722222222222	0.208333333333333	0.203125	"1"
"32"	"F"	27	3.2	3.58333333333333	3.25	2.08333333333333	23	0.298611111111111	0.173611111111111	0.40625	"1"
"33"	"F"	25	2	2.91666666666667	3.5	2.41666666666667	19	0.243055555555556	0.201388888888889	0.4375	"1"
"34"	"F"	31	2.4	3.66666666666667	3	2.58333333333333	12	0.305555555555556	0.215277777777778	0.375	"1"
"35"	"M"	20	4.2	4.5	3.25	1.58333333333333	10	0.375	0.131944444444444	0.40625	"1"
"36"	"F"	39	1.6	4.08333333333333	1.875	2.83333333333333	11	0.340277777777778	0.236111111111111	0.234375	"1"
"37"	"M"	38	3.1	3.83333333333333	4.375	1.83333333333333	20	0.319444444444444	0.152777777777778	0.546875	"1"
"38"	"M"	24	3.8	3.25	3.625	2.41666666666667	26	0.270833333333333	0.201388888888889	0.453125	"1"
"39"	"M"	26	3.8	2.33333333333333	2.5	3.25	31	0.194444444444444	0.270833333333333	0.3125	"0"
"40"	"M"	25	3.3	3.33333333333333	1.25	3.41666666666667	20	0.277777777777778	0.284722222222222	0.15625	"0"
"41"	"F"	30	1.7	4.08333333333333	4	3.41666666666667	23	0.340277777777778	0.284722222222222	0.5	"1"
"42"	"F"	25	2.5	2.91666666666667	3	3.16666666666667	12	0.243055555555556	0.263888888888889	0.375	"0"
"43"	"M"	30	3.2	3.33333333333333	2.5	3.5	24	0.277777777777778	0.291666666666667	0.3125	"0"
"44"	"F"	48	3.5	3.83333333333333	4.875	2.66666666666667	17	0.319444444444444	0.222222222222222	0.609375	"1"
"45"	"F"	24	3.2	3.66666666666667	5	2.41666666666667	29	0.305555555555556	0.201388888888889	0.625	"1"
"46"	"F"	40	4.2	4.66666666666667	4.375	3.58333333333333	23	0.388888888888889	0.298611111111111	0.546875	"1"
"47"	"M"	25	3.1	3.75	3.25	2.08333333333333	28	0.3125	0.173611111111111	0.40625	"1"
"48"	"F"	23	3.9	3.41666666666667	4	3.75	31	0.284722222222222	0.3125	0.5	"0"
"49"	"F"	25	1.9	4.16666666666667	3.125	2.91666666666667	23	0.347222222222222	0.243055555555556	0.390625	"1"
"50"	"F"	23	2.1	2.91666666666667	2.5	2.91666666666667	25	0.243055555555556	0.243055555555556	0.3125	"0"
"51"	"M"	27	2.5	4.16666666666667	3.125	2.41666666666667	18	0.347222222222222	0.201388888888889	0.390625	"1"
"52"	"M"	25	3.2	3.58333333333333	3.25	3	19	0.298611111111111	0.25	0.40625	"1"
"53"	"M"	23	3.2	2.83333333333333	2.125	3.41666666666667	22	0.236111111111111	0.284722222222222	0.265625	"0"
"54"	"F"	23	2.6	4	2.75	2.91666666666667	25	0.333333333333333	0.243055555555556	0.34375	"1"
"55"	"F"	23	2.3	2.91666666666667	2.375	3.25	21	0.243055555555556	0.270833333333333	0.296875	"0"
"56"	"F"	45	3.8	3	3.125	3.25	9	0.25	0.270833333333333	0.390625	"0"
"57"	"F"	22	2.8	4.08333333333333	4	2.33333333333333	28	0.340277777777778	0.194444444444444	0.5	"1"
"58"	"F"	23	3.3	2.91666666666667	4	3.25	25	0.243055555555556	0.270833333333333	0.5	"0"
"59"	"M"	21	4.8	3.5	2.25	2.5	29	0.291666666666667	0.208333333333333	0.28125	"1"
"60"	"M"	21	4	4.33333333333333	3.25	1.75	33	0.361111111111111	0.145833333333333	0.40625	"1"
"61"	"F"	21	4	4.25	3.625	2.25	33	0.354166666666667	0.1875	0.453125	"1"
"62"	"F"	21	4.7	3.41666666666667	3.625	2.08333333333333	25	0.284722222222222	0.173611111111111	0.453125	"1"
"63"	"F"	26	2.3	3.08333333333333	2.5	2.83333333333333	18	0.256944444444444	0.236111111111111	0.3125	"1"
"64"	"F"	25	3.1	4.58333333333333	1.875	2.83333333333333	22	0.381944444444444	0.236111111111111	0.234375	"1"
"65"	"F"	26	2.7	3.41666666666667	2	2.41666666666667	17	0.284722222222222	0.201388888888889	0.25	"1"
"66"	"M"	21	4.1	3.41666666666667	1.875	2.25	25	0.284722222222222	0.1875	0.234375	"1"
